global_storm_id,deployment_id,mae_ann,peak_obs,peak_pred_ann,n_rows
apparently-darling-gecko_56,apparently-darling-gecko,4.4854026,9.370079,0.966533,561
apparently-darling-gecko_36,apparently-darling-gecko,0.452256,2.047244,1.3283076,1800
apparently-darling-gecko_9,apparently-darling-gecko,0.40763035,1.6141732,1.1231694,817
apparently-darling-gecko_4,apparently-darling-gecko,0.3723536,1.2598425,1.379206,1158
apparently-darling-gecko_26,apparently-darling-gecko,0.34237102,1.2992126,1.1196718,1025
apparently-darling-gecko_33,apparently-darling-gecko,0.31555128,1.023622,0.68902475,842
apparently-darling-gecko_35,apparently-darling-gecko,0.2576797,1.1417323,0.9543872,598
apparently-darling-gecko_45,apparently-darling-gecko,0.19295603,0.8267717,0.8583088,300
apparently-darling-gecko_30,apparently-darling-gecko,0.038545597,0.0,0.19130804,698
apparently-darling-gecko_21,apparently-darling-gecko,0.027821274,0.0,0.12702097,484
